2026-04-10 13:04:22 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 10, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-10 13:04:22 | Device: cuda
2026-04-10 13:04:23 | Model parameters: 1,197,601
2026-04-10 13:08:29 | Epoch  40/50 | Loss: 22.3541 | MAE: 22.89 CL | r: 0.7623 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:08:35 | Epoch  41/50 | Loss: 22.4383 | MAE: 23.16 CL | r: 0.7569 | LR: 3.00e-05 | 6.1s
2026-04-10 13:08:41 | Epoch  42/50 | Loss: 22.1054 | MAE: 30.51 CL | r: 0.7247 | LR: 3.00e-05 | 6.0s
2026-04-10 13:08:47 | Epoch  43/50 | Loss: 22.0739 | MAE: 21.73 CL | r: 0.7627 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:08:53 | Epoch  44/50 | Loss: 21.7438 | MAE: 25.68 CL | r: 0.7047 | LR: 3.00e-05 | 6.1s
2026-04-10 13:09:00 | Epoch  45/50 | Loss: 21.1602 | MAE: 31.47 CL | r: 0.7123 | LR: 3.00e-05 | 6.1s
2026-04-10 13:09:06 | Epoch  46/50 | Loss: 20.9885 | MAE: 20.20 CL | r: 0.7882 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:09:12 | Epoch  47/50 | Loss: 20.9154 | MAE: 25.75 CL | r: 0.7284 | LR: 3.00e-05 | 6.1s
2026-04-10 13:09:18 | Epoch  48/50 | Loss: 20.3679 | MAE: 23.30 CL | r: 0.7346 | LR: 3.00e-05 | 6.0s
2026-04-10 13:09:24 | Epoch  49/50 | Loss: 20.5828 | MAE: 22.66 CL | r: 0.7793 | LR: 3.00e-05 | 6.0s
2026-04-10 13:09:30 | Epoch  50/50 | Loss: 20.0797 | MAE: 19.77 CL | r: 0.7901 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:09:30 | Best validation MAE: 19.77 centiloid units
2026-04-10 13:09:30 | Model saved to checkpoints/best_model.pt
2026-04-10 13:09:30 | Metrics: results/metrics_20260410_130422.csv
2026-04-10 13:09:30 | Val report: results/val_report_20260410_130422.csv
2026-04-10 13:09:30 | Plots: results/curves_20260410_130422.png
