2026-03-25 10:03:02 | Args: {'train_csv': '../data/train.csv', 'val_csv': '../data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'output': 'best_model.pt', 'cache': False, 'loss': 'mae', 'patience': 10, 'log_dir': 'logs'}
2026-03-25 10:03:02 | Device: cuda
2026-03-25 10:03:03 | Model parameters: 1,197,601
2026-03-25 10:13:49 | Epoch  41/50 | Loss: 22.2797 | MAE: 22.39 CL | r: 0.7457 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:14:05 | Epoch  42/50 | Loss: 21.6381 | MAE: 21.59 CL | r: 0.7574 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:14:20 | Epoch  43/50 | Loss: 21.1449 | MAE: 22.79 CL | r: 0.7904 | LR: 3.00e-05 | 15.5s
2026-03-25 10:14:36 | Epoch  44/50 | Loss: 21.2591 | MAE: 20.41 CL | r: 0.7893 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:14:51 | Epoch  45/50 | Loss: 21.1368 | MAE: 23.26 CL | r: 0.7591 | LR: 3.00e-05 | 15.6s
2026-03-25 10:15:07 | Epoch  46/50 | Loss: 20.5974 | MAE: 20.66 CL | r: 0.7979 | LR: 3.00e-05 | 15.5s
2026-03-25 10:15:22 | Epoch  47/50 | Loss: 20.2513 | MAE: 31.98 CL | r: 0.6954 | LR: 3.00e-05 | 15.5s
2026-03-25 10:15:38 | Epoch  48/50 | Loss: 20.2811 | MAE: 27.77 CL | r: 0.7499 | LR: 3.00e-05 | 15.5s
2026-03-25 10:15:53 | Epoch  49/50 | Loss: 20.3653 | MAE: 21.16 CL | r: 0.7937 | LR: 3.00e-05 | 15.5s
2026-03-25 10:16:09 | Epoch  50/50 | Loss: 19.7861 | MAE: 18.46 CL | r: 0.8033 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:16:09 | Best validation MAE: 18.46 centiloid units
2026-03-25 10:16:09 | Model saved to best_model.pt
2026-03-25 10:16:09 | Metrics: logs/metrics_20260325_100302.csv
2026-03-25 10:16:09 | Plots: logs/curves_20260325_100302.png
