feature,gain
feature_0788,0.0013495309
feature_4852,0.001345817
feature_5825,0.0013402486
feature_3802,0.0013387629
feature_1997,0.0013378442
feature_3092,0.00133536
feature_3138,0.0013316413
feature_5580,0.0013203853
feature_4154,0.0013133175
feature_4972,0.0013073459
feature_5443,0.0012978942
feature_4258,0.0012893132
feature_4880,0.0012797944
feature_1437,0.0012625667
feature_1841,0.001260273
feature_3428,0.0012470837
feature_1395,0.0012394733
feature_3267,0.0012387165
feature_6523,0.0012374067
feature_4352,0.0012310126
feature_4309,0.0012270819
feature_2228,0.0012240764
feature_5008,0.0012210793
feature_0785,0.0012122801
feature_0169,0.0011939371
feature_1900,0.0011935183
feature_4692,0.001191614
feature_5965,0.001190164
feature_5041,0.0011870187
feature_5781,0.0011836685
feature_3027,0.0011826381
feature_5982,0.0011820111
feature_6513,0.001171702
feature_2761,0.0011712326
feature_0427,0.0011702685
feature_2116,0.0011687097
feature_2377,0.0011644312
feature_4642,0.0011570676
feature_2762,0.0011494862
feature_4482,0.0011439306
feature_4739,0.0011340394
feature_4035,0.0011304431
feature_3319,0.0011284405
feature_1070,0.001127204
feature_1031,0.0011262521
feature_3868,0.0011233473
feature_4629,0.0011161943
feature_2967,0.0011159542
feature_3570,0.0011106399
feature_0232,0.0011097871
feature_1828,0.0011096728
feature_4061,0.0011015504
feature_3179,0.0010954789
feature_6540,0.0010869772
feature_0628,0.0010836057
feature_1843,0.0010783023
feature_1106,0.0010738695
feature_0804,0.0010529949
feature_4177,0.0010524377
feature_1825,0.0010436998
feature_4184,0.0010363702
feature_0715,0.0010358626
feature_4955,0.0010292304
feature_4207,0.001024245
feature_1661,0.0010202748
feature_6299,0.0010144487
feature_5144,0.0009961129
feature_0913,0.0009852215
feature_3361,0.0009778684
feature_0068,0.0009750686
feature_1703,0.000971118
feature_0394,0.00096774765
feature_5979,0.0009660124
feature_2106,0.00095591816
feature_6177,0.0009519452
feature_0194,0.00094984204
feature_2796,0.00094965554
feature_3300,0.0009470948
feature_4218,0.0009465541
feature_5210,0.0009391398
feature_5926,0.00093111704
feature_2126,0.00093086227
feature_5185,0.00092663156
feature_1206,0.0009158051
feature_2840,0.0009133992
feature_0713,0.00091236865
feature_2886,0.00090932514
feature_3661,0.0009093248
feature_0412,0.0009033758
feature_4648,0.00090303604
feature_6198,0.00090123725
feature_3343,0.0008982677
feature_0649,0.00089706486
feature_0939,0.0008966195
feature_1785,0.00089187577
feature_1046,0.0008847378
feature_0482,0.0008811368
feature_4427,0.00087931514
feature_5145,0.0008621464
feature_2338,0.00085892045
feature_6004,0.00085643964
feature_6208,0.0008510394
feature_4524,0.0008481472
feature_0831,0.0008478386
feature_2813,0.0008407256
feature_0111,0.0008402915
feature_4257,0.00083621015
feature_0279,0.0008320066
feature_6113,0.00081967574
feature_1735,0.00081965263
feature_5162,0.0008183214
feature_0958,0.0008101658
feature_5959,0.00080729264
feature_5125,0.0008049181
feature_4099,0.00080466474
feature_0154,0.0007997018
feature_3126,0.00079918804
feature_5413,0.00079685106
feature_1572,0.0007962195
feature_0246,0.0007953357
feature_3200,0.00077874487
feature_4155,0.00077850826
feature_5889,0.0007761432
feature_0654,0.00077317806
feature_3908,0.0007697841
feature_0217,0.0007595764
feature_1598,0.00075449026
feature_5922,0.0007520335
feature_2784,0.00074621977
feature_0634,0.0007456681
feature_1935,0.0007453504
feature_3264,0.00074456853
feature_1205,0.0007430601
feature_5337,0.00074169773
feature_4995,0.0007414619
feature_0602,0.00073774025
feature_3040,0.00073667476
feature_6411,0.00073394616
feature_6137,0.00072561257
feature_4588,0.0007232674
feature_2930,0.00072122714
feature_2268,0.0007156868
feature_1939,0.0007149606
feature_5267,0.000714107
feature_0931,0.0007109638
feature_3722,0.0007080938
feature_5639,0.00070700544
feature_6234,0.00070683
feature_3844,0.00069786207
feature_1137,0.000696085
feature_1662,0.00069221953
feature_1617,0.0006831048
feature_0595,0.0006826033
feature_1104,0.00068143493
feature_1189,0.000680869
feature_2732,0.0006801094
feature_5306,0.00067567173
feature_3535,0.00067262445
feature_3262,0.00067099207
feature_2815,0.00066959905
feature_1191,0.0006692591
feature_2912,0.0006674792
feature_2198,0.00066244474
feature_0548,0.0006618949
feature_1941,0.0006527435
feature_2810,0.00064983143
feature_4331,0.0006463445
feature_6587,0.0006401521
feature_3053,0.0006393641
feature_2225,0.0006391513
feature_0891,0.0006387318
feature_5812,0.000637557
feature_4186,0.0006362318
feature_1635,0.0006358
feature_2221,0.0006328675
feature_4772,0.0006326177
feature_1777,0.0006322805
feature_2139,0.00063221564
feature_2297,0.0006293817
feature_5723,0.00062655634
feature_4292,0.00062073476
feature_4404,0.00061331
feature_6054,0.00061201194
feature_6361,0.00061062
feature_0605,0.0006085825
feature_6577,0.00060782593
feature_5502,0.0006077505
feature_2642,0.0006018524
feature_3260,0.00059784035
feature_2110,0.00059527473
feature_1308,0.00059291476
feature_6414,0.00059229584
feature_1123,0.0005922124
feature_4621,0.0005913209
feature_6169,0.0005859753
feature_0766,0.0005854604
feature_3295,0.000582335
feature_1099,0.0005796121
feature_1083,0.0005776922
feature_1990,0.00057729875
feature_2476,0.00057401287
feature_1512,0.0005678071
feature_5867,0.0005617341
feature_2800,0.0005598834
feature_2996,0.0005591301
feature_0746,0.0005590832
feature_1261,0.0005586003
feature_0418,0.0005539856
feature_0302,0.00055145414
feature_5420,0.00055004965
feature_1674,0.0005494828
feature_0369,0.00054547156
feature_2214,0.0005379926
feature_3968,0.00053788465
feature_3708,0.0005281023
feature_2037,0.0005261374
feature_3888,0.00051859295
feature_1352,0.00051559607
feature_3189,0.0005147255
feature_2011,0.00050704594
feature_3125,0.00050627306
feature_6578,0.00049904746
feature_2084,0.0004966743
feature_3611,0.0004963561
feature_3226,0.00049046887
feature_4480,0.00048612655
feature_5086,0.0004855038
feature_2690,0.00048169246
feature_6273,0.00047723667
feature_1892,0.00046547808
feature_4521,0.00046348837
feature_1116,0.00046315257
feature_6145,0.00046227328
feature_0547,0.00045625668
feature_2924,0.00045518478
feature_2529,0.00044483528
feature_3864,0.00044447978
feature_6129,0.0004401076
feature_5929,0.00043630812
feature_2192,0.00043400147
feature_1167,0.00042536235
feature_4051,0.00042192073
feature_5762,0.00041492397
feature_3766,0.00040866138
feature_3075,0.00040767711
feature_2746,0.00040705677
feature_5919,0.00040334146
feature_4832,0.00039824663
feature_6545,0.00039518805
feature_6162,0.00039275858
feature_2825,0.00038695507
feature_2093,0.00038087554
feature_2587,0.00037602356
feature_5112,0.00037519872
feature_6398,0.0003742751
feature_5939,0.00035656715
feature_6159,0.00034414616
feature_6315,0.000341138
feature_3679,0.00033462953
feature_5547,0.00033008942
feature_1819,0.00032989134
feature_4965,0.00032855864
feature_0668,0.00031788734
feature_3363,0.00030797903
feature_0616,0.00030188996
feature_1293,0.00027560446
feature_1865,0.00026478304
feature_2186,0.00025385842
feature_5371,0.00023408326
feature_2709,0.00022804765
feature_4271,0.00022462463
feature_2706,0.00022001768
feature_5122,0.00021831176
feature_4620,0.00018455063
feature_1737,0.00018352488
feature_6448,0.0001717121
feature_5058,0.00015792431
feature_0726,0.00015497867
feature_1399,0.00014692744
feature_0596,0.00013527818
feature_5994,0.00013135059
feature_3652,0.00011927666
feature_4785,0.00010824043
feature_2989,0.00010706876
feature_0666,9.091767e-05
feature_0187,8.5376916e-05
feature_2491,8.344257e-05
feature_0920,1.1486636e-05
feature_5334,1.0997013e-05
feature_4355,0.0
feature_4790,0.0
feature_4376,0.0
feature_4789,0.0
feature_4382,0.0
feature_4377,0.0
feature_4353,0.0
feature_4378,0.0
feature_4773,0.0
feature_4787,0.0
feature_4774,0.0
feature_4788,0.0
feature_4354,0.0
feature_4771,0.0
feature_4380,0.0
feature_4381,0.0
feature_4770,0.0
feature_4379,0.0
feature_4362,0.0
feature_4781,0.0
feature_4363,0.0
feature_4782,0.0
feature_4780,0.0
feature_4361,0.0
feature_4364,0.0
feature_4783,0.0
feature_4779,0.0
feature_4365,0.0
feature_4366,0.0
feature_4360,0.0
feature_4359,0.0
feature_4778,0.0
feature_4792,0.0
feature_4784,0.0
feature_4368,0.0
feature_4777,0.0
feature_4370,0.0
feature_4371,0.0
feature_4358,0.0
feature_4372,0.0
feature_4776,0.0
feature_4373,0.0
feature_4374,0.0
feature_4775,0.0
feature_4786,0.0
feature_4356,0.0
feature_4375,0.0
feature_4367,0.0
feature_4412,0.0
feature_4411,0.0
feature_4745,0.0
feature_4746,0.0
feature_4410,0.0
feature_4747,0.0
feature_4748,0.0
feature_4791,0.0
feature_4750,0.0
feature_4409,0.0
feature_4408,0.0
feature_4407,0.0
feature_4406,0.0
feature_4405,0.0
feature_4751,0.0
feature_4752,0.0
feature_4749,0.0
feature_4738,0.0
feature_4740,0.0
feature_4424,0.0
feature_4423,0.0
feature_4422,0.0
feature_4421,0.0
feature_4420,0.0
feature_4419,0.0
feature_4413,0.0
feature_4418,0.0
feature_4742,0.0
feature_4417,0.0
feature_4416,0.0
feature_4743,0.0
feature_4415,0.0
feature_4744,0.0
feature_4414,0.0
feature_4741,0.0
feature_4392,0.0
feature_4391,0.0
feature_4390,0.0
feature_4389,0.0
feature_4388,0.0
feature_4762,0.0
feature_4387,0.0
feature_4763,0.0
feature_4753,0.0
feature_4765,0.0
feature_4766,0.0
feature_4385,0.0
feature_4767,0.0
feature_4768,0.0
feature_4384,0.0
feature_4383,0.0
feature_4769,0.0
feature_4386,0.0
feature_4755,0.0
feature_4403,0.0
feature_4402,0.0
feature_4401,0.0
feature_4756,0.0
feature_4400,0.0
feature_4399,0.0
feature_4398,0.0
feature_4761,0.0
feature_4397,0.0
feature_4758,0.0
feature_4396,0.0
feature_4759,0.0
feature_4395,0.0
feature_4760,0.0
feature_4394,0.0
feature_4393,0.0
feature_4757,0.0
feature_4302,0.0
feature_4840,0.0
feature_4301,0.0
feature_4300,0.0
feature_4841,0.0
feature_4842,0.0
feature_4843,0.0
feature_4299,0.0
feature_4799,0.0
feature_4844,0.0
feature_4297,0.0
feature_4845,0.0
feature_4846,0.0
feature_4296,0.0
feature_4295,0.0
feature_4294,0.0
feature_4847,0.0
feature_4298,0.0
feature_4314,0.0
feature_4313,0.0
feature_4312,0.0
feature_4311,0.0
feature_4310,0.0
feature_4833,0.0
feature_4308,0.0
feature_4307,0.0
feature_4839,0.0
feature_4834,0.0
feature_4835,0.0
feature_4305,0.0
feature_4836,0.0
feature_4304,0.0
feature_4837,0.0
feature_4838,0.0
feature_4303,0.0
feature_4306,0.0
feature_4858,0.0
feature_4859,0.0
feature_4860,0.0
feature_4861,0.0
feature_4862,0.0
feature_4279,0.0
feature_4863,0.0
feature_4278,0.0
feature_4293,0.0
feature_4276,0.0
feature_4275,0.0
feature_4864,0.0
feature_4274,0.0
feature_4273,0.0
feature_4865,0.0
feature_4272,0.0
feature_4867,0.0
feature_4277,0.0
feature_4848,0.0
feature_4849,0.0
feature_4850,0.0
feature_4851,0.0
feature_4291,0.0
feature_4290,0.0
feature_4853,0.0
feature_4288,0.0
feature_4280,0.0
feature_4287,0.0
feature_4286,0.0
feature_4285,0.0
feature_4284,0.0
feature_4283,0.0
feature_4856,0.0
feature_4857,0.0
feature_4282,0.0
feature_4281,0.0
feature_4855,0.0
feature_4800,0.0
feature_4801,0.0
feature_4802,0.0
feature_4803,0.0
feature_4804,0.0
feature_4805,0.0
feature_4806,0.0
feature_4340,0.0
feature_4831,0.0
feature_4338,0.0
feature_4807,0.0
feature_4337,0.0
feature_4336,0.0
feature_4808,0.0
feature_4335,0.0
feature_4809,0.0
feature_4810,0.0
feature_4339,0.0
feature_4351,0.0
feature_4793,0.0
feature_4350,0.0
feature_4349,0.0
feature_4794,0.0
feature_4795,0.0
feature_4348,0.0
feature_4796,0.0
feature_4341,0.0
feature_4798,0.0
feature_4347,0.0
feature_4425,0.0
feature_4346,0.0
feature_4345,0.0
feature_4344,0.0
feature_4343,0.0
feature_4342,0.0
feature_4797,0.0
feature_4824,0.0
feature_4825,0.0
feature_4324,0.0
feature_4323,0.0
feature_4322,0.0
feature_4826,0.0
feature_4321,0.0
feature_4827,0.0
feature_4811,0.0
feature_4319,0.0
feature_4318,0.0
feature_4317,0.0
feature_4316,0.0
feature_4828,0.0
feature_4829,0.0
feature_4315,0.0
feature_4830,0.0
feature_4320,0.0
feature_4812,0.0
feature_4813,0.0
feature_4333,0.0
feature_4814,0.0
feature_4815,0.0
feature_4816,0.0
feature_4332,0.0
feature_4817,0.0
feature_4325,0.0
feature_4819,0.0
feature_4330,0.0
feature_4329,0.0
feature_4820,0.0
feature_4328,0.0
feature_4822,0.0
feature_4327,0.0
feature_4823,0.0
feature_4326,0.0
feature_4818,0.0
feature_4633,0.0
feature_4534,0.0
feature_4634,0.0
feature_4635,0.0
feature_4636,0.0
feature_4637,0.0
feature_4533,0.0
feature_4532,0.0
feature_4727,0.0
feature_4638,0.0
feature_4640,0.0
feature_4530,0.0
feature_4529,0.0
feature_4641,0.0
feature_4643,0.0
feature_4644,0.0
feature_4528,0.0
feature_4531,0.0
feature_4543,0.0
feature_4622,0.0
feature_4542,0.0
feature_4541,0.0
feature_4623,0.0
feature_4540,0.0
feature_4624,0.0
feature_4539,0.0
feature_4535,0.0
feature_4626,0.0
feature_4628,0.0
feature_4538,0.0
feature_4537,0.0
feature_4630,0.0
feature_4536,0.0
feature_4631,0.0
feature_4632,0.0
feature_4625,0.0
feature_4518,0.0
feature_4517,0.0
feature_4660,0.0
feature_4516,0.0
feature_4515,0.0
feature_4661,0.0
feature_4514,0.0
feature_4662,0.0
feature_4527,0.0
feature_4513,0.0
feature_4512,0.0
feature_4664,0.0
feature_4511,0.0
feature_4510,0.0
feature_4665,0.0
feature_4666,0.0
feature_4667,0.0
feature_4663,0.0
feature_4646,0.0
feature_4526,0.0
feature_4647,0.0
feature_4525,0.0
feature_4649,0.0
feature_4650,0.0
feature_4651,0.0
feature_4653,0.0
feature_4659,0.0
feature_4522,0.0
feature_4654,0.0
feature_4520,0.0
feature_4655,0.0
feature_4519,0.0
feature_4656,0.0
feature_4657,0.0
feature_4658,0.0
feature_4523,0.0
feature_4599,0.0
feature_4600,0.0
feature_4579,0.0
feature_4578,0.0
feature_4577,0.0
feature_4576,0.0
feature_4601,0.0
feature_4575,0.0
feature_4619,0.0
feature_4574,0.0
feature_4603,0.0
feature_4604,0.0
feature_4573,0.0
feature_4572,0.0
feature_4571,0.0
feature_4570,0.0
feature_4606,0.0
feature_4602,0.0
feature_4593,0.0
feature_4592,0.0
feature_4594,0.0
feature_4591,0.0
feature_4590,0.0
feature_4589,0.0
feature_4595,0.0
feature_4596,0.0
feature_4580,0.0
feature_4587,0.0
feature_4586,0.0
feature_4585,0.0
feature_4584,0.0
feature_4583,0.0
feature_4598,0.0
feature_4582,0.0
feature_4581,0.0
feature_4597,0.0
feature_4616,0.0
feature_4557,0.0
feature_4617,0.0
feature_4556,0.0
feature_4555,0.0
feature_4554,0.0
feature_4553,0.0
feature_4552,0.0
feature_4567,0.0
feature_4550,0.0
feature_4618,0.0
feature_4549,0.0
feature_4548,0.0
feature_4547,0.0
feature_4546,0.0
feature_4545,0.0
feature_4544,0.0
feature_4551,0.0
feature_4607,0.0
feature_4608,0.0
feature_4609,0.0
feature_4566,0.0
feature_4565,0.0
feature_4610,0.0
feature_4611,0.0
feature_4564,0.0
feature_4558,0.0
feature_4562,0.0
feature_4612,0.0
feature_4613,0.0
feature_4561,0.0
feature_4614,0.0
feature_4560,0.0
feature_4559,0.0
feature_4615,0.0
feature_4563,0.0
feature_4708,0.0
feature_4452,0.0
feature_4709,0.0
feature_4451,0.0
feature_4710,0.0
feature_4450,0.0
feature_4711,0.0
feature_4448,0.0
feature_4509,0.0
feature_4446,0.0
feature_4712,0.0
feature_4713,0.0
feature_4445,0.0
feature_4714,0.0
feature_4444,0.0
feature_4715,0.0
feature_4443,0.0
feature_4447,0.0
feature_4465,0.0
feature_4464,0.0
feature_4463,0.0
feature_4462,0.0
feature_4703,0.0
feature_4461,0.0
feature_4460,0.0
feature_4704,0.0
feature_4707,0.0
feature_4458,0.0
feature_4457,0.0
feature_4456,0.0
feature_4455,0.0
feature_4705,0.0
feature_4706,0.0
feature_4454,0.0
feature_4453,0.0
feature_4459,0.0
feature_4434,0.0
feature_4433,0.0
feature_4728,0.0
feature_4432,0.0
feature_4431,0.0
feature_4730,0.0
feature_4430,0.0
feature_4429,0.0
feature_4716,0.0
feature_4732,0.0
feature_4733,0.0
feature_4734,0.0
feature_4735,0.0
feature_4428,0.0
feature_4736,0.0
feature_4426,0.0
feature_4737,0.0
feature_4731,0.0
feature_4442,0.0
feature_4717,0.0
feature_4441,0.0
feature_4440,0.0
feature_4439,0.0
feature_4718,0.0
feature_4438,0.0
feature_4437,0.0
feature_4726,0.0
feature_4720,0.0
feature_4721,0.0
feature_4722,0.0
feature_4723,0.0
feature_4436,0.0
feature_4724,0.0
feature_4435,0.0
feature_4725,0.0
feature_4719,0.0
feature_4502,0.0
feature_4501,0.0
feature_4500,0.0
feature_4499,0.0
feature_4681,0.0
feature_4498,0.0
feature_4682,0.0
feature_4497,0.0
feature_4466,0.0
feature_4495,0.0
feature_4683,0.0
feature_4494,0.0
feature_4493,0.0
feature_4684,0.0
feature_4492,0.0
feature_4491,0.0
feature_4490,0.0
feature_4496,0.0
feature_4508,0.0
feature_4668,0.0
feature_4669,0.0
feature_4670,0.0
feature_4507,0.0
feature_4671,0.0
feature_4506,0.0
feature_4673,0.0
feature_4680,0.0
feature_4674,0.0
feature_4675,0.0
feature_4504,0.0
feature_4676,0.0
feature_4503,0.0
feature_4677,0.0
feature_4678,0.0
feature_4679,0.0
feature_4505,0.0
feature_4693,0.0
feature_4694,0.0
feature_4695,0.0
feature_4474,0.0
feature_4473,0.0
feature_4696,0.0
feature_4472,0.0
feature_4697,0.0
feature_4685,0.0
feature_4470,0.0
feature_4698,0.0
feature_4700,0.0
feature_4701,0.0
feature_4469,0.0
feature_4468,0.0
feature_4702,0.0
feature_4467,0.0
feature_4471,0.0
feature_4489,0.0
feature_4686,0.0
feature_4488,0.0
feature_4487,0.0
feature_4486,0.0
feature_4485,0.0
feature_4687,0.0
feature_4484,0.0
feature_4691,0.0
feature_4688,0.0
feature_4481,0.0
feature_4479,0.0
feature_4689,0.0
feature_4690,0.0
feature_4478,0.0
feature_4477,0.0
feature_4476,0.0
feature_4475,0.0
feature_4483,0.0
feature_3720,0.0
feature_3719,0.0
feature_3718,0.0
feature_3717,0.0
feature_3715,0.0
feature_3714,0.0
feature_3713,0.0
feature_3712,0.0
feature_3711,0.0
feature_3710,0.0
feature_3709,0.0
feature_4866,0.0
feature_3706,0.0
feature_3705,0.0
feature_3704,0.0
feature_3703,0.0
feature_3702,0.0
feature_3701,0.0
feature_3700,0.0
feature_3699,0.0
feature_3698,0.0
feature_3697,0.0
feature_3696,0.0
feature_3707,0.0
feature_3745,0.0
feature_3744,0.0
feature_3743,0.0
feature_3742,0.0
feature_3741,0.0
feature_3740,0.0
feature_3739,0.0
feature_3738,0.0
feature_3737,0.0
feature_3736,0.0
feature_3735,0.0
feature_3721,0.0
feature_3733,0.0
feature_3732,0.0
feature_3731,0.0
feature_3730,0.0
feature_3729,0.0
feature_3728,0.0
feature_3727,0.0
feature_3726,0.0
feature_3725,0.0
feature_3724,0.0
feature_3723,0.0
feature_3734,0.0
feature_3667,0.0
feature_3666,0.0
feature_3664,0.0
feature_3663,0.0
feature_3662,0.0
feature_3660,0.0
feature_3659,0.0
feature_3658,0.0
feature_3657,0.0
feature_3656,0.0
feature_3655,0.0
feature_3695,0.0
feature_3653,0.0
feature_3651,0.0
feature_3650,0.0
feature_3649,0.0
feature_3648,0.0
feature_3647,0.0
feature_3646,0.0
feature_3645,0.0
feature_3644,0.0
feature_3643,0.0
feature_3642,0.0
feature_3654,0.0
feature_3694,0.0
feature_3693,0.0
feature_3692,0.0
feature_3691,0.0
feature_3690,0.0
feature_3689,0.0
feature_3688,0.0
feature_3687,0.0
feature_3686,0.0
feature_3685,0.0
feature_3684,0.0
feature_3668,0.0
feature_3682,0.0
feature_3681,0.0
feature_3680,0.0
feature_3678,0.0
feature_3677,0.0
feature_3676,0.0
feature_3675,0.0
feature_3674,0.0
feature_3673,0.0
feature_3671,0.0
feature_3670,0.0
feature_3669,0.0
feature_3683,0.0
feature_3824,0.0
feature_3823,0.0
feature_3822,0.0
feature_3821,0.0
feature_3820,0.0
feature_3819,0.0
feature_3818,0.0
feature_3817,0.0
feature_3816,0.0
feature_3815,0.0
feature_3814,0.0
feature_3746,0.0
feature_3812,0.0
feature_3811,0.0
feature_3810,0.0
feature_3809,0.0
feature_3808,0.0
feature_3807,0.0
feature_3806,0.0
feature_3805,0.0
feature_3804,0.0
feature_3803,0.0
feature_3801,0.0
feature_3813,0.0
feature_3851,0.0
feature_3850,0.0
feature_3849,0.0
feature_3848,0.0
feature_3847,0.0
feature_3846,0.0
feature_3845,0.0
feature_3841,0.0
feature_3840,0.0
feature_3839,0.0
feature_3838,0.0
feature_3825,0.0
feature_3836,0.0
feature_3835,0.0
feature_3834,0.0
feature_3833,0.0
feature_3832,0.0
feature_3831,0.0
feature_3830,0.0
feature_3829,0.0
feature_3828,0.0
feature_3827,0.0
feature_3826,0.0
feature_3837,0.0
feature_3772,0.0
feature_3771,0.0
feature_3770,0.0
feature_3769,0.0
feature_3768,0.0
feature_3767,0.0
